Function,Size (arr.length),User (Seconds),System (Seconds),Average User,Average Size
Compute3,10,0.05,0.02,0.053333333,0.033333333
Compute3,10,0.06,0.06,,
Compute3,10,0.05,0.02,,
Compute3,1000,0.07,0.03,0.066666667,0.053333333
Compute3,1000,0.07,0.06,,
Compute3,1000,0.06,0.07,,
Compute3,100000,0.12,0.04,0.123333333,0.06
Compute3,100000,0.13,0.07,,
Compute3,100000,0.12,0.07,,
,,,,,
,,,,,
,Size (arr.length),Average User Time(s),Average System time(s),,
,10,0.053333333,0.033333333,,
,1000,0.066666667,0.053333333,,
,100000,0.123333333,0.06,,
,,,,,
,,,,,
,,,,,
,,,,,
,Size(arr.length),Number of Array Accesses,,,
,10,10,,,
,1000,1000,,,
,100000,100000,,,
